Player,Tm,Age,Pos,G_P,GS,Tgt,Rec_P,Ctch%,Yds_P,TD_P,1D,Succ%,Y/Tgt,R/G,Y/G,Fmb,G,Rec,Yds,Avg,TD,Plays_S,Yds_S,Avg_S,TD_S,Conf,School,Height,Weight,40yd,Vertical,Broad Jump,Drafted,OvrPick
Drake London,ATL,21,WR,17,15,117.0,72,61.5%,866,4,48,56.4,7.4,4.2,50.9,3.0,9.0,53.333333333333336,717.6666666666666,14.0,5.0,53.666666666666664,718.3333333333334,13.966666666666667,5.0,Pac-12,USC,6-4,219.0,4.52,35.5,35.5,True,8.0
Chris Olave,NOR,22,WR,15,9,119.0,72,60.5%,1042,4,48,53.8,8.8,4.8,69.5,2.0,11.0,54.666666666666664,838.0,15.433333333333332,10.666666666666666,55.666666666666664,839.6666666666666,15.133333333333333,10.666666666666666,Big Ten,Ohio St.,6-0,187.0,4.39,32.0,124.0,True,11.0
George Pickens,PIT,21,WR,17,12,84.0,52,61.9%,801,4,38,48.8,9.5,3.1,47.1,0.0,11.0,42.5,620.0,14.55,7.0,42.5,620.0,14.55,7.0,SEC,Georgia,6-3,195.0,4.47,33.0,125.0,True,84.0
Romeo Doubs,GNB,22,WR,13,7,67.0,42,62.7%,425,3,20,46.3,6.3,3.2,32.7,2.0,11.0,56.25,830.5,14.775,6.5,57.0,830.25,14.524999999999999,6.5,MWC,Nevada,6-2,201.0,4.52,35.5,35.5,True,228.0
Cade Otton,TAM,23,TE,16,11,65.0,42,64.6%,391,2,19,52.3,6.0,2.6,24.4,0.0,8.333333333333334,26.0,284.0,11.333333333333334,2.0,26.0,284.0,11.333333333333334,2.0,Pac-12,Washington,6-5,247.0,4.52,35.5,35.5,True,202.0
Alec Pierce,IND,22,WR,16,12,78.0,41,52.6%,593,2,28,46.2,7.6,2.6,37.1,1.0,14.0,44.5,768.0,17.3,4.5,44.5,768.0,17.3,4.5,American,Cincinnati,6-3,211.0,4.41,40.5,129.0,True,85.0
Isaiah Likely,BAL,22,TE,16,2,60.0,36,60.0%,373,3,18,35.0,6.2,2.3,23.3,0.0,12.0,40.333333333333336,648.0,16.333333333333332,7.333333333333333,41.333333333333336,651.3333333333334,16.133333333333333,7.333333333333333,Sun Belt,Coastal Carolina,6-5,245.0,4.52,36.0,35.5,True,235.0
Jahan Dotson,WAS,22,WR,12,10,61.0,35,57.4%,523,7,26,50.8,8.6,2.9,43.6,0.0,11.333333333333334,56.666666666666664,851.3333333333334,16.033333333333335,8.333333333333334,59.333333333333336,857.3333333333334,15.4,8.666666666666666,Big Ten,Penn St.,5-11,178.0,4.43,36.0,121.0,True,16.0
Treylon Burks,TEN,22,WR,11,6,54.0,33,61.1%,444,1,19,50.0,8.2,3.0,40.4,0.0,10.666666666666666,48.666666666666664,799.6666666666666,16.400000000000002,6.0,61.333333333333336,873.6666666666666,14.066666666666668,6.333333333333333,SEC,Arkansas,6-2,225.0,4.55,33.0,122.0,True,18.0
Greg Dulcich,DEN,22,TE,10,6,55.0,33,60.0%,411,2,18,50.9,7.5,3.3,41.1,0.0,9.5,34.0,621.0,18.6,5.0,34.0,621.0,18.6,5.0,Pac-12,UCLA,6-4,243.0,4.69,34.0,122.0,True,144.0
Chigoziem Okonkwo,TEN,23,TE,17,8,46.0,32,69.6%,450,3,22,50.0,9.8,1.9,26.5,0.0,13.0,52.0,447.0,8.6,5.0,52.0,447.0,8.6,5.0,Big Ten,Maryland,6-3,238.0,4.52,35.5,35.5,True,239.0
Daniel Bellinger,NYG,22,TE,12,11,35.0,30,85.7%,268,2,14,68.6,7.7,2.5,22.3,1.0,10.5,26.0,280.0,10.6,1.0,26.5,281.0,10.45,1.0,MWC,San Diego St.,6-5,253.0,4.63,34.5,125.0,True,208.0
Trey McBride,ARI,23,TE,16,13,39.0,29,74.4%,265,1,12,46.2,6.8,1.8,16.6,1.0,9.333333333333334,52.333333333333336,670.3333333333334,13.299999999999999,3.0,52.666666666666664,693.3333333333334,13.5,3.3333333333333335,MWC,Colorado St.,6-4,246.0,4.52,33.0,117.0,True,87.0
Jelani Woods,IND,24,TE,15,2,40.0,25,62.5%,312,3,16,45.0,7.8,1.7,20.8,1.0,11.0,44.0,598.0,13.6,8.0,45.0,599.0,13.3,8.0,ACC,Virginia,6-7,259.0,4.61,35.5,35.5,True,137.0
David Bell,CLE,22,WR,16,3,35.0,24,68.6%,214,0,7,40.0,6.1,1.5,13.4,0.0,9.666666666666666,77.33333333333333,982.0,12.533333333333333,7.0,79.33333333333333,999.0,12.466666666666669,7.333333333333333,Big Ten,Purdue,6-1,212.0,4.65,33.0,118.0,True,163.0
Wan'Dale Robinson,NYG,21,WR,6,3,31.0,23,74.2%,227,1,13,61.3,7.3,3.8,37.8,0.0,10.333333333333334,65.0,749.3333333333334,11.033333333333333,3.3333333333333335,112.0,979.6666666666666,8.799999999999999,4.666666666666667,SEC,Kentucky,5-8,178.0,4.44,34.5,118.0,True,75.0
Skyy Moore,KAN,22,WR,16,3,33.0,22,66.7%,250,0,13,63.6,7.6,1.4,15.6,3.0,10.0,57.0,827.3333333333334,14.933333333333332,5.0,58.0,831.3333333333334,14.666666666666666,5.333333333333333,MAC,Western Michigan,5-10,195.0,4.41,34.5,125.0,True,86.0
Tyquan Thornton,NWE,22,WR,13,9,45.0,22,48.9%,247,2,13,40.0,5.5,1.7,19.0,0.0,14.0,53.5,865.0,16.35,7.5,54.0,859.5,16.15,7.5,Big 12,Baylor,6-2,181.0,4.28,36.5,130.0,True,82.0
Jake Ferguson,DAL,23,TE,16,8,22.0,19,86.4%,174,2,8,63.6,7.9,1.2,10.9,0.0,11.75,36.25,404.5,11.25,3.25,36.25,404.5,11.25,3.25,Big Ten,Wisconsin,6-5,250.0,4.81,31.5,118.0,True,225.0
Connor Heyward,PIT,23,TE,17,0,17.0,12,70.6%,151,1,6,58.8,8.9,0.7,8.9,0.0,11.0,28.333333333333332,215.33333333333334,7.0,1.3333333333333333,89.66666666666667,460.6666666666667,5.933333333333334,3.0,Big Ten,Michigan St.,5-11,233.0,4.72,32.5,35.5,True,368.0
Peyton Hendershot,DAL,23,TE,17,2,16.0,11,68.8%,103,2,8,50.0,6.4,0.6,6.1,1.0,11.0,40.333333333333336,438.6666666666667,10.133333333333333,4.0,41.333333333333336,440.0,9.933333333333332,4.0,Big Ten,Indiana,6-4,250.0,4.8,32.5,117.0,False,225.0
James Mitchell,DET,23,TE,14,0,11.0,11,100.0%,113,1,7,100.0,10.3,0.8,8.1,0.0,10.0,26.0,435.0,16.7,4.0,27.0,436.0,16.1,5.0,ACC,Virginia Tech,6-4,249.0,4.52,35.5,35.5,True,305.0
