Player,Tm,Age,Pos,G_P,GS,Tgt,Rec_P,Ctch%,Yds_P,TD_P,1D,Succ%,Y/Tgt,R/G,Y/G,Fmb,G,Rec,Yds,Avg,TD,Plays_S,Yds_S,Avg_S,TD_S,Conf,School,Height,Weight,40yd,Vertical,Broad Jump,Drafted,OvrPick
Parker Washington,JAX,21,WR,9,1,21.0,16,76.2%,132,2,5,52.4,6.3,1.8,14.7,2.0,10.666666666666666,48.666666666666664,640.0,13.233333333333334,4.0,50.0,646.6666666666666,13.033333333333333,4.0,Big Ten,Penn St.,5-10,204.0,4.52,35.5,35.5,True,345.0
Derius Davis,LAC,23,WR,17,2,17.0,15,88.2%,66,0,0,23.5,3.9,0.9,3.9,3.0,13.0,39.0,524.5,13.5,3.0,45.5,560.5,12.35,4.0,Big 12,TCU,5-8,165.0,4.36,35.5,35.5,True,221.0
Malik Heath,GNB,23,WR,13,1,24.0,15,62.5%,125,1,6,41.7,5.2,1.2,9.6,0.0,11.333333333333334,43.666666666666664,573.3333333333334,12.5,4.333333333333333,43.666666666666664,573.3333333333334,12.5,4.333333333333333,SEC,Mississippi,6-2,213.0,4.64,34.0,124.0,False,225.0
Elijah Higgins,ARI,23,TE,11,2,19.0,14,73.7%,163,1,9,52.6,8.6,1.3,14.8,0.0,9.0,39.666666666666664,460.0,11.566666666666668,2.0,41.0,476.0,11.566666666666668,2.0,Pac-12,Stanford,6-3,235.0,4.54,35.0,126.0,True,357.0
A.T. Perry,NOR,24,WR,10,3,18.0,12,66.7%,246,4,10,61.1,13.7,1.2,24.6,0.0,13.5,76.0,1194.5,15.85,13.0,76.0,1194.5,15.85,13.0,ACC,Wake Forest,6-4,198.0,4.47,35.0,133.0,True,355.0
Davis Allen,LAR,22,TE,15,1,11.0,10,90.9%,95,1,7,81.8,8.6,0.7,6.3,0.0,13.5,33.5,325.5,9.4,4.0,33.5,325.5,9.4,4.0,ACC,Clemson,6-6,245.0,4.52,38.5,125.0,True,303.0
Josh Whyle,TEN,24,TE,11,3,15.0,9,60.0%,94,1,8,60.0,6.3,0.8,8.5,0.0,11.0,30.0,339.5,11.399999999999999,4.5,30.0,339.5,11.399999999999999,4.5,American,Cincinnati,6-7,248.0,4.52,33.5,115.0,True,275.0
Xavier Hutchinson,HOU,23,WR,16,0,19.0,8,42.1%,90,0,3,21.1,4.7,0.5,5.6,0.0,12.333333333333334,84.66666666666667,976.3333333333334,11.6,5.0,85.33333333333333,982.3333333333334,11.566666666666668,5.0,Big 12,Iowa St.,6-2,203.0,4.53,36.0,116.0,True,365.0
Luke Schoonmaker,DAL,25,TE,17,0,15.0,8,53.3%,65,2,5,40.0,4.3,0.5,3.8,0.0,12.0,35.0,418.0,11.9,3.0,35.0,418.0,11.9,3.0,Big Ten,Michigan,6-5,251.0,4.52,33.5,127.0,True,90.0
Charlie Jones,CIN,25,WR,11,0,9.0,7,77.8%,64,0,3,44.4,7.1,0.6,5.8,0.0,13.0,110.0,1361.0,12.4,12.0,112.0,1364.0,12.2,12.0,Big Ten,Purdue,5-11,175.0,4.43,36.5,124.0,True,227.0
Ronnie Bell,SFO,23,WR,17,0,13.0,6,46.2%,68,3,5,46.2,5.2,0.4,4.0,1.0,11.0,45.333333333333336,682.6666666666666,15.166666666666666,2.0,46.666666666666664,693.3333333333334,15.033333333333333,2.3333333333333335,Big Ten,Michigan,6-0,191.0,4.54,38.5,120.0,True,445.0
Jalen Brooks,DAL,23,WR,7,0,6.0,6,100.0%,64,0,4,83.3,10.7,0.9,9.1,0.0,12.0,33.0,504.0,15.3,1.0,37.0,555.0,15.0,2.0,SEC,South Carolina,6-1,201.0,4.69,35.0,130.0,True,436.0
Jason Brownlee,NYJ,24,WR,7,5,8.0,5,62.5%,56,1,2,50.0,7.0,0.7,8.0,0.0,11.666666666666666,45.0,714.6666666666666,16.03333333333333,7.0,45.0,714.6666666666666,16.03333333333333,7.0,Sun Belt,Southern Mississippi,6-2,198.0,4.59,39.5,131.0,False,225.0
Payne Durham,TAM,23,TE,13,2,7.0,5,71.4%,58,0,3,71.4,8.3,0.4,4.5,0.0,10.333333333333334,39.0,397.6666666666667,10.266666666666667,5.666666666666667,39.333333333333336,399.0,10.233333333333334,5.666666666666667,Big Ten,Purdue,6-6,253.0,4.52,34.5,117.0,True,299.0
Brenton Strange,JAX,23,TE,14,4,9.0,5,55.6%,35,1,2,22.2,3.9,0.4,2.5,0.0,11.0,24.5,263.0,10.45,3.5,25.0,263.0,10.3,3.5,Big Ten,Penn St.,6-4,253.0,4.52,36.0,124.0,True,93.0
Rakim Jarrett,TAM,22,WR,10,0,9.0,4,44.4%,60,0,1,33.3,6.7,0.4,6.0,0.0,9.333333333333334,39.666666666666664,517.3333333333334,13.333333333333334,3.3333333333333335,42.333333333333336,524.6666666666666,12.733333333333334,3.3333333333333335,Big Ten,Maryland,6-0,192.0,4.44,35.5,123.0,False,225.0
Kayshon Boutte,NWE,21,WR,5,0,7.0,2,28.6%,19,0,1,28.6,2.7,0.4,3.8,0.0,9.0,43.666666666666664,593.6666666666666,13.633333333333333,5.333333333333333,44.0,607.3333333333334,13.833333333333334,5.333333333333333,SEC,LSU,5-11,195.0,4.5,29.0,118.0,True,347.0
Antoine Green,DET,24,WR,9,0,2.0,1,50.0%,2,0,0,0.0,1.0,0.1,0.2,0.0,11.0,37.0,705.0,19.15,6.0,37.0,705.0,19.15,6.0,ACC,North Carolina,6-2,199.0,4.47,33.5,123.0,True,411.0
