Player,Tm,Age,Tgt,Rec_P,Ctch%,Yds_p,TD_P,1D,Succ%,Y/Tgt,R/G,Y/G,G_P,GS,Att,Yds_R_P,TD_R_P,1D_P,Succ%_R,Y/A,Y/G_R,Fmb,G,Att_R,Yds_R,Avg_R,TD_R,Rec,Yds,Avg,TD,Plays_S,Yds_S,Avg_S,TD_S,Conf,School,Height,Weight,40yd,Vertical,Broad Jump,Drafted,OvrPick
Paul Perkins,NYG,22,24.0,15,62.5%,162,0,6,33.3,6.8,1.1,11.6,14,1,112,456,0,24,43.8,4.1,32.6,1,13.0,207.33333333333334,1163.6666666666667,5.433333333333334,9.666666666666666,26.666666666666668,246.33333333333334,9.366666666666667,1.0,234.0,1410.0,5.933333333333334,10.666666666666666,Pac-12,UCLA,5-10,208.0,4.54,32.0,124.0,True,277.0
Derrick Henry,TEN,22,15.0,13,86.7%,137,0,5,46.7,9.1,0.9,9.1,15,2,110,490,5,29,54.5,4.5,32.7,0,14.5,283.5,1604.5,5.699999999999999,19.5,8.0,112.0,17.450000000000003,1.0,291.5,1716.5,6.0,20.5,SEC,Alabama,6-3,247.0,4.54,37.0,130.0,True,77.0
Alex Collins,SEA,22,11.0,11,100.0%,84,0,6,81.8,7.6,1.0,7.6,11,0,31,125,1,8,38.7,4.0,11.4,2,12.666666666666666,221.66666666666666,1234.3333333333333,5.533333333333334,12.0,9.0,55.666666666666664,5.333333333333333,0.0,230.66666666666666,1290.0,5.566666666666667,12.0,SEC,Arkansas,5-10,217.0,4.59,28.5,113.0,True,299.0
Kenyan Drake,MIA,22,10.0,9,90.0%,46,0,2,60.0,4.6,0.6,2.9,16,1,33,179,2,9,45.5,5.4,11.2,1,11.0,92.0,694.0,7.5,8.0,12.0,135.0,11.3,1.0,104.0,829.0,8.0,9.0,SEC,Alabama,6-1,210.0,4.45,34.5,123.0,True,137.0
Wendell Smallwood,PHI,22,13.0,6,46.2%,55,0,1,38.5,4.2,0.5,4.2,13,3,77,312,1,20,46.8,4.1,24.0,1,13.0,193.0,1120.5,5.65,5.5,28.5,243.0,8.35,0.0,221.5,1363.5,6.15,5.5,Big 12,West Virginia,5-10,208.0,4.47,33.5,120.0,True,281.0
Peyton Barber,TAM,22,6.0,5,83.3%,28,0,1,66.7,4.7,0.3,1.9,15,1,55,223,1,10,41.8,4.1,14.9,0,13.0,238.0,1017.0,4.3,13.0,11.0,112.0,10.2,0.0,249.0,1129.0,4.5,13.0,SEC,Auburn,5-10,228.0,4.64,32.5,111.0,False,225.0
Tyler Ervin,HOU,23,5.0,3,60.0%,18,0,0,40.0,3.6,0.3,1.5,12,0,1,3,0,0,0.0,3.0,0.3,3,12.5,226.0,1244.5,5.5,8.5,37.0,320.0,9.0,1.5,263.0,1564.5,6.050000000000001,10.0,MWC,San Jose State,5-10,192.0,4.41,39.0,130.0,True,215.0
Daniel Lasco,NOR,24,4.0,2,50.0%,11,0,0,50.0,2.8,0.3,1.6,7,0,11,32,0,1,45.5,2.9,4.6,0,12.0,210.0,1115.0,5.3,12.0,33.0,356.0,10.8,2.0,243.0,1471.0,6.1,14.0,Pac-12,California,6-0,209.0,4.46,41.5,135.0,True,429.0
Brandon Wilds,NYJ,23,2.0,2,100.0%,20,0,1,50.0,10.0,0.5,5.0,4,0,10,27,0,1,30.0,2.7,6.8,0,11.333333333333334,112.0,541.0,4.833333333333333,3.3333333333333335,16.666666666666668,140.33333333333334,8.466666666666667,0.3333333333333333,128.66666666666666,681.3333333333334,5.333333333333333,3.6666666666666665,SEC,South Carolina,6-1,220.0,4.54,36.5,118.0,False,225.0
Jonathan Williams,BUF,22,2.0,1,50.0%,0,0,0,0.0,0.0,0.1,0.0,11,0,27,94,1,6,40.7,3.5,8.5,2,12.5,180.5,1045.0,5.8,8.0,9.0,68.5,8.100000000000001,2.0,189.5,1113.5,5.95,10.0,SEC,Arkansas,5-11,220.0,4.56,34.5,34.5,True,284.0
