Player,School,Conf,G,Att_R,Yds_R,Avg_R,TD_R,Rec,Yds,Avg,TD,Plays_S,Yds_S,Avg_S,TD_S,Year
Percy Harvin,Florida,SEC,11,83,764,9.2,6,59,858,14.5,4,142,1622,11.4,10,2007
Felix Jones,Arkansas,SEC,13,133,1162,8.7,11,16,176,11.0,0,149,1338,9.0,11,2007
Stafon Johnson,USC,Pac-10,11,98,673,6.9,5,4,15,3.8,0,102,688,6.7,5,2007
Pat White,West Virginia,Big East,13,197,1335,6.8,14,,,,,197,1335,6.8,14,2007
Reggie Arnold,Arkansas State,Sun Belt,12,163,1060,6.5,9,4,52,13.0,1,167,1112,6.7,10,2007
Kendall Hunter,Oklahoma State,Big 12,12,107,696,6.5,4,10,137,13.7,1,117,833,7.1,5,2007
Jeremy Avery,Boise State,WAC,12,103,672,6.5,8,14,153,10.9,2,117,825,7.1,10,2007
Rashard Mendenhall,Illinois,Big Ten,13,262,1681,6.4,17,34,318,9.4,2,296,1999,6.8,19,2007
Chad Hall,Air Force,MWC,13,230,1478,6.4,15,50,524,10.5,1,280,2002,7.2,16,2007
James Johnson,Kansas State,Big 12,12,174,1106,6.4,12,34,220,6.5,0,208,1326,6.4,12,2007
Jim Ollis,Air Force,MWC,11,106,682,6.4,6,,,,,106,682,6.4,6,2007
Dajuane Collins,Toledo,MAC,12,99,636,6.4,7,11,69,6.3,0,110,705,6.4,7,2007
Jamaal Charles,Texas,Big 12,13,258,1619,6.3,18,17,199,11.7,0,275,1818,6.6,18,2007
Clifton Smith,Fresno State,WAC,13,100,625,6.3,5,33,352,10.7,0,133,977,7.3,5,2007
Evan Royster,Penn State,Big Ten,11,82,513,6.3,5,3,18,6.0,0,85,531,6.2,5,2007
Jonathan Stewart,Oregon,Pac-10,13,280,1722,6.2,11,22,145,6.6,2,302,1867,6.2,13,2007
Anthony Alridge,Houston,CUSA,13,259,1597,6.2,14,42,428,10.2,5,301,2025,6.7,19,2007
Michael Desormeaux,Louisiana,Sun Belt,11,188,1141,6.1,7,,,,,188,1141,6.1,7,2007
Zac Robinson,Oklahoma State,Big 12,13,140,847,6.1,9,,,,,140,847,6.1,9,2007
Eugene Jarvis,Kent State,MAC,12,279,1669,6.0,10,23,306,13.3,3,302,1975,6.5,13,2007
Chris Johnson,East Carolina,CUSA,13,236,1423,6.0,17,37,528,14.3,6,273,1951,7.1,23,2007
Dan Lefevour,Central Michigan,MAC,14,188,1122,6.0,19,1,32,32.0,1,189,1154,6.1,20,2007
Ryan Mathews,Fresno State,WAC,11,145,866,6.0,14,,,,,145,866,6.0,14,2007
Demarco Murray,Oklahoma,Big 12,11,127,764,6.0,13,14,60,4.3,0,141,824,5.8,13,2007
Daniel Porter,Louisiana Tech,WAC,12,99,592,6.0,6,11,58,5.3,0,110,650,5.9,6,2007
Matt Forte,Tulane,CUSA,12,361,2127,5.9,23,32,282,8.8,0,393,2409,6.1,23,2007
Chris Wells,Ohio State,Big Ten,13,274,1609,5.9,15,5,21,4.2,0,279,1630,5.8,15,2007
Javon Ringer,Michigan State,Big Ten,13,245,1447,5.9,6,35,295,8.4,0,280,1742,6.2,6,2007
Brandon McAnderson,Kansas,Big 12,13,190,1125,5.9,16,21,213,10.1,0,211,1338,6.3,16,2007
Kenny Cattouse,Troy,Sun Belt,12,133,791,5.9,7,37,235,6.4,1,170,1026,6.0,8,2007
Jamario Thomas,North Texas,Sun Belt,11,112,666,5.9,8,16,37,2.3,0,128,703,5.5,8,2007
Allen Patrick,Oklahoma,Big 12,13,173,1009,5.8,8,10,56,5.6,1,183,1065,5.8,9,2007
Eric Kettani,Navy,Ind,13,152,880,5.8,10,7,36,5.1,0,159,916,5.8,10,2007
Justin Hoskins,Central Michigan,MAC,14,115,664,5.8,10,22,171,7.8,2,137,835,6.1,12,2007
Deon Wallace,Louisiana,Sun Belt,11,75,433,5.8,3,10,148,14.8,2,85,581,6.8,5,2007
Kevin Smith,UCF,CUSA,14,450,2567,5.7,29,24,242,10.1,1,474,2809,5.9,30,2007
Dantrell Savage,Oklahoma State,Big 12,11,223,1272,5.7,9,27,259,9.6,2,250,1531,6.1,11,2007
Tyrell Fenroy,Louisiana,Sun Belt,11,180,1021,5.7,7,15,113,7.5,0,195,1134,5.8,7,2007
Jake Locker,Washington,Pac-10,12,172,986,5.7,13,1,15,15.0,0,173,1001,5.8,13,2007
Joe McKnight,USC,Pac-10,13,94,540,5.7,3,23,203,8.8,1,117,743,6.4,4,2007
Darren McFadden,Arkansas,SEC,13,325,1830,5.6,16,21,164,7.8,1,346,1994,5.8,17,2007
Louis Rankin,Washington,Pac-10,13,233,1294,5.6,6,20,126,6.3,2,253,1420,5.6,8,2007
Tarrion Adams,Tulsa,CUSA,14,219,1225,5.6,8,30,301,10.0,3,249,1526,6.1,11,2007
Tony Temple,Missouri,Big 12,12,186,1039,5.6,12,7,68,9.7,1,193,1107,5.7,13,2007
Jake Sharp,Kansas,Big 12,13,147,821,5.6,7,21,163,7.8,2,168,984,5.9,9,2007
Kahlil Bell,UCLA,Pac-10,8,142,795,5.6,5,13,93,7.2,0,155,888,5.7,5,2007
Colin Kaepernick,Nevada,WAC,11,105,593,5.6,6,,,,,105,593,5.6,6,2007
Dennis Dixon,Oregon,Pac-10,10,105,583,5.6,9,,,,,105,583,5.6,9,2007
Kestahn Moore,Florida,SEC,13,104,580,5.6,6,13,81,6.2,1,117,661,5.6,7,2007
Jalen Parmele,Toledo,MAC,12,276,1511,5.5,14,17,157,9.2,1,293,1668,5.7,15,2007
Rodney Kinlaw,Penn State,Big Ten,13,243,1329,5.5,10,21,128,6.1,0,264,1457,5.5,10,2007
Tyrell Hayden,Western Kentucky,Ind,12,205,1134,5.5,10,5,22,4.4,0,210,1156,5.5,10,2007
Graig Cooper,Miami (FL),ACC,11,125,682,5.5,4,13,129,9.9,1,138,811,5.9,5,2007
Derrick Locke,Kentucky,SEC,12,94,521,5.5,5,7,86,12.3,0,101,607,6.0,5,2007
Damion Fletcher,Southern Mississippi,CUSA,13,295,1586,5.4,15,29,227,7.8,0,324,1813,5.6,15,2007
Knowshon Moreno,Georgia,SEC,13,248,1334,5.4,14,20,253,12.7,0,268,1587,5.9,14,2007
Ray Rice,Rutgers,Big East,13,380,2012,5.3,24,25,239,9.6,1,405,2251,5.6,25,2007
Luke Lippincott,Nevada,WAC,13,267,1420,5.3,15,26,295,11.3,3,293,1715,5.9,18,2007
Tashard Choice,Georgia Tech,ACC,12,261,1379,5.3,10,14,107,7.6,0,275,1486,5.4,10,2007
Hugh Charles,Colorado,Big 12,12,199,1058,5.3,8,24,233,9.7,1,223,1291,5.8,9,2007
Rafael Little,Kentucky,SEC,10,190,1013,5.3,3,42,347,8.3,1,232,1360,5.9,4,2007
Gartrell Johnson III,Colorado State,MWC,12,181,957,5.3,6,12,103,8.6,2,193,1060,5.5,8,2007
Keegan Herring,Arizona State,Pac-10,13,154,815,5.3,5,10,88,8.8,0,164,903,5.5,5,2007
Thomas Brown,Georgia,SEC,10,148,779,5.3,10,10,84,8.4,2,158,863,5.5,12,2007
C.J. Spiller,Clemson,ACC,13,145,768,5.3,3,34,271,8.0,2,179,1039,5.8,5,2007
Amir Pinnix,Minnesota,Big Ten,10,106,563,5.3,5,11,66,6.0,1,117,629,5.4,6,2007
Mario Fannin,Auburn,SEC,13,84,448,5.3,5,18,176,9.8,2,102,624,6.1,7,2007
Jonathan Dwyer,Georgia Tech,ACC,13,82,436,5.3,9,2,17,8.5,0,84,453,5.4,9,2007
P.J. Hill,Wisconsin,Big Ten,11,233,1212,5.2,14,14,89,6.4,1,247,1301,5.3,15,2007
Joseph Turner,TCU,MWC,10,115,597,5.2,6,5,41,8.2,0,120,638,5.3,6,2007
Cedric Peerman,Virginia,ACC,6,113,585,5.2,5,12,99,8.3,0,125,684,5.5,5,2007
Jaycen Taylor,Purdue,Big Ten,9,107,560,5.2,4,11,65,5.9,0,118,625,5.3,4,2007
Brock Bolen,Louisville,Big East,10,88,456,5.2,7,14,121,8.6,1,102,577,5.7,8,2007
Greg Moore,Cincinnati,Big East,13,87,450,5.2,2,13,183,14.1,2,100,633,6.3,4,2007
Shannon Woods,Texas Tech,Big 12,9,84,439,5.2,8,34,138,4.1,2,118,577,4.9,10,2007
Justin Forsett,California,Pac-10,13,305,1546,5.1,15,22,202,9.2,0,327,1748,5.3,15,2007
Michael Hart,Michigan,Big Ten,10,265,1361,5.1,14,8,50,6.3,0,273,1411,5.2,14,2007
Marcus Thomas,UTEP,CUSA,11,227,1166,5.1,16,20,268,13.4,2,247,1434,5.8,18,2007
Kory Sheets,Purdue,Big Ten,13,168,859,5.1,11,30,216,7.2,2,198,1075,5.4,13,2007
Darius Marshall,Marshall,CUSA,12,123,631,5.1,3,14,119,8.5,0,137,750,5.5,3,2007
Frank Goodin,Louisiana-Monroe,Sun Belt,12,116,596,5.1,4,11,117,10.6,1,127,713,5.6,5,2007
Andre Crenshaw,Oregon,Pac-10,13,82,415,5.1,4,4,17,4.3,0,86,432,5.0,4,2007
Calvin Dawson,Louisiana-Monroe,Sun Belt,12,281,1414,5.0,12,29,262,9.0,0,310,1676,5.4,12,2007
Harvey Unga,Brigham Young,MWC,13,244,1227,5.0,13,44,655,14.9,4,288,1882,6.5,17,2007
James Davis,Clemson,ACC,13,214,1064,5.0,10,12,51,4.3,2,226,1115,4.9,12,2007
Steve Slaton,West Virginia,Big East,13,211,1051,5.0,17,26,350,13.5,1,237,1401,5.9,18,2007
Ian Johnson,Boise State,WAC,11,207,1041,5.0,16,25,312,12.5,1,232,1353,5.8,17,2007
Chauncey Washington,USC,Pac-10,12,195,969,5.0,10,7,59,8.4,2,202,1028,5.1,12,2007
Cory Boyd,South Carolina,SEC,12,180,903,5.0,9,36,405,11.3,1,216,1308,6.1,10,2007
Stephen McGee,Texas A&M,Big 12,13,181,899,5.0,5,,,,,181,899,5.0,5,2007
Terry Grant,Alabama,SEC,11,180,891,5.0,8,26,176,6.8,1,206,1067,5.2,9,2007
Andre Dixon,Connecticut,Big East,11,167,828,5.0,3,24,280,11.7,1,191,1108,5.8,4,2007
Kellen Lewis,Indiana,Big Ten,13,147,736,5.0,9,1,87,87.0,1,148,823,5.6,10,2007
Mikell Simpson,Virginia,ACC,13,113,570,5.0,8,43,402,9.3,2,156,972,6.2,10,2007
Ryan Torain,Arizona State,Pac-10,6,110,553,5.0,5,7,100,14.3,2,117,653,5.6,7,2007
Terrance Ganaway,Houston,CUSA,13,109,550,5.0,6,,,,,109,550,5.0,6,2007
Butler Benton,Cincinnati,Big East,12,100,499,5.0,2,16,154,9.6,1,116,653,5.6,3,2007
Damian Sims,Iowa,Big Ten,12,100,499,5.0,3,10,76,7.6,0,110,575,5.2,3,2007
Kalvin McRae,Ohio,MAC,12,294,1434,4.9,19,29,275,9.5,1,323,1709,5.3,20,2007
Arian Foster,Tennessee,SEC,14,245,1193,4.9,12,39,340,8.7,2,284,1533,5.4,14,2007
Deonte Jackson,Idaho,WAC,12,240,1175,4.9,7,17,153,9.0,0,257,1328,5.2,7,2007
BenJarvus Green-Ellis,Ole Miss,SEC,12,230,1137,4.9,6,2,25,12.5,0,232,1162,5.0,6,2007
Jacob Hester,LSU,SEC,14,225,1103,4.9,12,14,106,7.6,1,239,1209,5.1,13,2007
Marlon Lucky,Nebraska,Big 12,12,206,1019,4.9,9,75,705,9.4,3,281,1724,6.1,12,2007
Devin Moore,Wyoming,MWC,12,198,965,4.9,5,24,161,6.7,1,222,1126,5.1,6,2007
James Mapps,SMU,CUSA,12,108,526,4.9,4,13,144,11.1,0,121,670,5.5,4,2007
Anthony Turner,Bowling Green State,MAC,13,106,519,4.9,9,22,185,8.4,1,128,704,5.5,10,2007
Jarod Bryant,Navy,Ind,10,94,464,4.9,5,1,5,5.0,1,95,469,4.9,6,2007
Micah Mosley,North Texas,Sun Belt,12,94,461,4.9,5,11,88,8.0,1,105,549,5.2,6,2007
Miquale Lewis,Ball State,MAC,5,92,447,4.9,2,11,154,14.0,1,103,601,5.8,3,2007
LeSean McCoy,Pitt,Big East,12,276,1328,4.8,14,33,244,7.4,1,309,1572,5.1,15,2007
Darrell Mack,Utah,MWC,12,253,1204,4.8,12,21,144,6.9,3,274,1348,4.9,15,2007
Donald Brown,Connecticut,Big East,12,170,821,4.8,8,14,85,6.1,0,184,906,4.9,8,2007
Bryan Williams,Akron,MAC,12,152,728,4.8,2,22,204,9.3,1,174,932,5.4,3,2007
Anthony Allen,Louisville,Big East,12,146,696,4.8,7,21,153,7.3,2,167,849,5.1,9,2007
Zach Brown,Wisconsin,Big Ten,12,119,568,4.8,5,4,23,5.8,0,123,591,4.8,5,2007
Tyrell Sutton,Northwestern,Big Ten,7,108,522,4.8,4,30,282,9.4,0,138,804,5.8,4,2007
Brandon Whitaker,Baylor,Big 12,12,102,488,4.8,2,58,425,7.3,3,160,913,5.7,5,2007
Brian Flowers,Idaho,WAC,9,91,434,4.8,2,5,53,10.6,0,96,487,5.1,2,2007
Albert Young,Iowa,Big Ten,12,206,968,4.7,6,23,212,9.2,1,229,1180,5.2,7,2007
Patrick Jackson,Louisiana Tech,WAC,12,202,950,4.7,8,31,227,7.3,1,233,1177,5.1,9,2007
Dwight Tardy,Washington State,Pac-10,8,143,676,4.7,6,15,89,5.9,0,158,765,4.8,6,2007
Adam Ballard,Navy,Ind,13,141,665,4.7,5,5,49,9.8,0,146,714,4.9,5,2007
Mike Ford,South Florida,Big East,12,138,645,4.7,12,2,12,6.0,1,140,657,4.7,13,2007
Shaun Carney,Air Force,MWC,13,135,637,4.7,6,,,,,135,637,4.7,6,2007
Andre Brown,North Carolina State,ACC,8,95,447,4.7,5,25,194,7.8,0,120,641,5.3,5,2007
Omar Conteh,Northwestern,Big Ten,10,96,447,4.7,5,20,215,10.8,2,116,662,5.7,7,2007
Leon Patton,Kansas State,Big 12,12,83,390,4.7,4,15,62,4.1,1,98,452,4.6,5,2007
David Wolke,Western Kentucky,Ind,11,76,359,4.7,5,0,0,,0,76,359,4.7,5,2007
Frank Summers,UNLV,MWC,12,202,928,4.6,6,23,252,11.0,4,225,1180,5.2,10,2007
Brandon West,Western Michigan,MAC,12,183,848,4.6,4,45,365,8.1,2,228,1213,5.3,6,2007
Kaipo-Noa Kaheaku-Enhada,Navy,Ind,12,180,834,4.6,12,,,,,180,834,4.6,12,2007
Joseph Doss,Memphis,CUSA,12,174,806,4.6,5,24,145,6.0,0,198,951,4.8,5,2007
Charles Pierre,Florida Atlantic,Sun Belt,13,170,782,4.6,7,2,6,3.0,1,172,788,4.6,8,2007
Jorvorskie Lane,Texas A&M,Big 12,13,169,780,4.6,16,12,115,9.6,1,181,895,4.9,17,2007
Juice Williams,Illinois,Big Ten,13,165,755,4.6,7,0,0,,0,165,755,4.6,7,2007
Mike Goodson,Texas A&M,Big 12,13,153,711,4.6,4,36,361,10.0,4,189,1072,5.7,8,2007
Lonyae Miller,Fresno State,WAC,10,132,609,4.6,7,2,23,11.5,0,134,632,4.7,7,2007
Aaron Brown,TCU,MWC,9,106,490,4.6,2,24,161,6.7,1,130,651,5.0,3,2007
Brandon Roberson,Northwestern,Big Ten,12,76,348,4.6,4,9,99,11.0,0,85,447,5.3,4,2007
Justin Anderson,Northern Illinois,MAC,12,274,1245,4.5,8,45,263,5.8,3,319,1508,4.7,11,2007
Andre Callender,Boston College,ACC,14,218,989,4.5,9,76,720,9.5,4,294,1709,5.8,13,2007
Ben Tate,Auburn,SEC,13,202,903,4.5,8,16,144,9.0,0,218,1047,4.8,8,2007
Mike Davis,South Carolina,SEC,12,114,518,4.5,5,23,224,9.7,1,137,742,5.4,6,2007
Cory Jones,Miami (OH),MAC,11,107,483,4.5,2,14,115,8.2,1,121,598,4.9,3,2007
T.J. Pitts,Memphis,CUSA,11,106,481,4.5,1,5,-9,-1.8,0,111,472,4.3,1,2007
Dujuan Harris,Troy,Sun Belt,12,82,372,4.5,0,5,29,5.8,0,87,401,4.6,0,2007
Mario Henry,Buffalo,MAC,11,76,345,4.5,1,15,75,5.0,0,91,420,4.6,1,2007
Quentin Castille,Nebraska,Big 12,12,76,343,4.5,4,3,33,11.0,0,79,376,4.8,4,2007
Yvenson Bernard,Oregon State,Pac-10,11,275,1214,4.4,13,36,179,5.0,1,311,1393,4.5,14,2007
James Starks,Buffalo,MAC,12,251,1103,4.4,12,41,311,7.6,2,292,1414,4.8,14,2007
Josh Adams,Wake Forest,ACC,12,219,953,4.4,11,34,123,3.6,1,253,1076,4.3,12,2007
Matt Grothe,South Florida,Big East,13,198,872,4.4,10,,,,,198,872,4.4,10,2007
Nic Grigsby,Arizona,Pac-10,10,161,704,4.4,2,35,200,5.7,2,196,904,4.6,4,2007
Mark Bonds,Western Michigan,MAC,11,157,690,4.4,8,9,47,5.2,0,166,737,4.4,8,2007
Dwight Dasher,Middle Tennessee State,Sun Belt,10,121,530,4.4,3,1,10,10.0,0,122,540,4.4,3,2007
Anthony Kimble,Stanford,Pac-10,7,115,509,4.4,8,12,64,5.3,0,127,573,4.5,8,2007
Tim Tebow,Florida,SEC,13,210,895,4.3,23,,,,,210,895,4.3,23,2007
Antone Smith,Florida State,ACC,12,192,819,4.3,3,22,203,9.2,0,214,1022,4.8,3,2007
Colt McCoy,Texas,Big 12,13,114,492,4.3,4,,,,,114,492,4.3,4,2007
Christian Ducre,Mississippi State,SEC,13,112,487,4.3,3,16,83,5.2,0,128,570,4.5,3,2007
Austin Sykes,Miami (OH),MAC,12,109,466,4.3,3,13,88,6.8,0,122,554,4.5,3,2007
Paul Baker,New Mexico,MWC,13,109,465,4.3,0,8,126,15.8,0,117,591,5.1,0,2007
Demyron Martin,SMU,CUSA,12,106,458,4.3,4,9,64,7.1,1,115,522,4.5,5,2007
Jamad Williams,Tulsa,CUSA,14,106,458,4.3,2,7,87,12.4,0,113,545,4.8,2,2007
Brandon Minor,Michigan,Big Ten,12,90,385,4.3,1,3,1,0.3,0,93,386,4.2,1,2007
D.J. Harper,Boise State,WAC,10,87,376,4.3,6,3,13,4.3,0,90,389,4.3,6,2007
Lance Ball,Maryland,ACC,13,182,768,4.2,12,18,88,4.9,0,200,856,4.3,12,2007
Adam Weber,Minnesota,Big Ten,12,146,617,4.2,5,,,,,146,617,4.2,5,2007
Glen Coffee,Alabama,SEC,9,129,545,4.2,4,18,142,7.9,0,147,687,4.7,4,2007
Wayne Younger,Florida International,Sun Belt,11,127,536,4.2,2,,,,,127,536,4.2,2,2007
Brad Lester,Auburn,SEC,7,125,530,4.2,3,10,82,8.2,0,135,612,4.5,3,2007
Re'quan Boyette,Duke,ACC,12,104,432,4.2,2,14,77,5.5,0,118,509,4.3,2,2007
Tyrod Taylor,Virginia Tech,ACC,11,102,429,4.2,6,,,,,102,429,4.2,6,2007
Johnny White,North Carolina,ACC,12,95,399,4.2,0,15,159,10.6,0,110,558,5.1,0,2007
Bryan Payton,Indiana,Big Ten,12,90,381,4.2,4,12,69,5.8,0,102,450,4.4,4,2007
Montario Hardesty,Tennessee,SEC,10,89,373,4.2,3,3,25,8.3,0,92,398,4.3,3,2007
Chris Markey,UCLA,Pac-10,12,176,715,4.1,3,8,48,6.0,0,184,763,4.1,3,2007
A'Mod Ned,Florida International,Sun Belt,11,143,581,4.1,2,16,103,6.4,1,159,684,4.3,3,2007
Marcus Thigpen,Indiana,Big Ten,12,138,568,4.1,0,21,181,8.6,3,159,749,4.7,3,2007
Ontario Sneed,Central Michigan,MAC,11,119,486,4.1,6,22,212,9.6,0,141,698,5.0,6,2007
Duane Bennett,Minnesota,Big Ten,10,107,442,4.1,3,18,145,8.1,1,125,587,4.7,4,2007
Alex Allen,Akron,MAC,11,102,420,4.1,7,10,86,8.6,0,112,506,4.5,7,2007
Tory Harrison,Southern Mississippi,CUSA,13,95,393,4.1,5,8,60,7.5,0,103,453,4.4,5,2007
LaRod Stephens-Howling,Pitt,Big East,11,78,320,4.1,1,13,73,5.6,0,91,393,4.3,1,2007
Rodney Ferguson,New Mexico,MWC,12,292,1177,4.0,13,18,264,14.7,1,310,1441,4.6,14,2007
Cassen Jackson-Garrison,Vanderbilt,SEC,12,148,594,4.0,5,8,30,3.8,0,156,624,4.0,5,2007
Benjamin Williams,South Florida,Big East,12,105,425,4.0,6,25,239,9.6,0,130,664,5.1,6,2007
Case Keenum,Houston,CUSA,13,103,412,4.0,9,,,,,103,412,4.0,9,2007
Brandon Bornes,San Diego State,MWC,12,88,354,4.0,3,16,106,6.6,0,104,460,4.4,3,2007
Armando Allen,Notre Dame,Ind,12,86,348,4.0,0,24,124,5.2,1,110,472,4.3,1,2007
Daryl Robinson,Temple,MAC,12,86,347,4.0,0,16,171,10.7,1,102,518,5.1,1,2007
Matthew Sieverson,Oregon State,Pac-10,13,85,344,4.0,2,11,70,6.4,0,96,414,4.3,2,2007
Jabu Lovelace,Rutgers,Big East,10,82,332,4.0,4,,,,,82,332,4.0,4,2007
Jehuu Caulcrick,Michigan State,Big Ten,13,222,872,3.9,21,5,36,7.2,0,227,908,4.0,21,2007
Pierre Walker,Eastern Michigan,MAC,12,214,839,3.9,10,10,54,5.4,0,224,893,4.0,10,2007
Justin Willis,SMU,CUSA,12,180,699,3.9,3,,,,,180,699,3.9,3,2007
Jamelle Eugene,North Carolina State,ACC,12,172,667,3.9,5,42,263,6.3,1,214,930,4.3,6,2007
Omar Haugabook,Troy,Sun Belt,12,156,616,3.9,11,2,28,14.0,1,158,644,4.1,12,2007
Chris Brown,Oklahoma,Big 12,13,158,611,3.9,9,10,83,8.3,1,168,694,4.1,10,2007
Derrvin Speight,Utah State,WAC,11,129,504,3.9,3,13,57,4.4,0,142,561,4.0,3,2007
Alexander Robinson,Iowa State,Big 12,11,118,465,3.9,6,23,167,7.3,0,141,632,4.5,6,2007
Julian Edelman,Kent State,MAC,8,118,455,3.9,2,,,,,118,455,3.9,2,2007
Anthony Harding,Fresno State,WAC,12,114,449,3.9,4,4,22,5.5,1,118,471,4.0,5,2007
Keon Lattimore,Maryland,ACC,12,213,805,3.8,13,21,95,4.5,0,234,900,3.8,13,2007
Kyle Bell,Colorado State,MWC,12,180,691,3.8,4,10,43,4.3,0,190,734,3.9,4,2007
Justine Buries,New Mexico State,WAC,13,153,581,3.8,3,21,83,4.0,0,174,664,3.8,3,2007
Frank Edmonds,Ball State,MAC,13,140,531,3.8,6,13,106,8.2,0,153,637,4.2,6,2007
Dimitri Nance,Arizona State,Pac-10,11,133,500,3.8,7,13,120,9.2,0,146,620,4.2,7,2007
Bernard Morris,Marshall,CUSA,12,130,488,3.8,4,,,,,130,488,3.8,4,2007
James Aldridge,Notre Dame,Ind,11,121,463,3.8,0,5,30,6.0,0,126,493,3.9,0,2007
J.J. Bass,Iowa State,Big 12,9,123,462,3.8,4,9,48,5.3,0,132,510,3.9,4,2007
Ben Mauk,Cincinnati,Big East,12,99,377,3.8,3,0,0,,0,99,377,3.8,3,2007
Jacob Ramsey,Cincinnati,Big East,12,96,362,3.8,3,8,35,4.4,0,104,397,3.8,3,2007
Kevin McCall,Washington State,Pac-10,12,78,294,3.8,3,13,125,9.6,0,91,419,4.6,3,2007
Anthony Dixon,Mississippi State,SEC,13,287,1066,3.7,14,14,167,11.9,2,301,1233,4.1,16,2007
Branden Ore,Virginia Tech,ACC,14,267,992,3.7,9,20,149,7.5,1,287,1141,4.0,10,2007
Javarris James,Miami (FL),ACC,12,159,582,3.7,4,14,100,7.1,0,173,682,3.9,4,2007
Wynel Seldon,Wyoming,MWC,12,148,554,3.7,8,27,132,4.9,0,175,686,3.9,8,2007
Chase Clement,Rice,CUSA,12,144,535,3.7,8,,,,,144,535,3.7,8,2007
Kinsmon Lancaster,Louisiana-Monroe,Sun Belt,12,107,398,3.7,1,1,2,2.0,0,108,400,3.7,1,2007
Curtis Marsh,Utah State,WAC,10,82,302,3.7,2,16,96,6.0,0,98,398,4.1,2,2007
Jason Harper,Temple,MAC,12,163,586,3.6,5,22,226,10.3,2,185,812,4.4,7,2007
Micah Andrews,Wake Forest,ACC,13,116,420,3.6,3,14,87,6.2,0,130,507,3.9,3,2007
Maurice Wells,Ohio State,Big Ten,13,103,367,3.6,3,10,47,4.7,1,113,414,3.7,4,2007
Jeff Jennings,Vanderbilt,SEC,10,96,346,3.6,2,8,57,7.1,2,104,403,3.9,4,2007
Justin Hill,Rice,CUSA,12,88,321,3.6,3,10,82,8.2,0,98,403,4.1,3,2007
Ryan Christian,TCU,MWC,13,88,321,3.6,2,18,139,7.7,0,106,460,4.3,2,2007
Anthony Elzy,North Carolina,ACC,12,92,321,3.5,5,10,73,7.3,0,102,394,3.9,5,2007
Manase Tonga,Brigham Young,MWC,12,88,305,3.5,8,27,248,9.2,0,115,553,4.8,8,2007
Demarco McNair,Middle Tennessee State,Sun Belt,12,149,505,3.4,9,22,321,14.6,4,171,826,4.8,13,2007
Demetrius Sumler,Colorado,Big 12,12,100,335,3.4,4,6,41,6.8,1,106,376,3.5,5,2007
Brandon Fragger,Nevada,WAC,11,99,334,3.4,2,17,133,7.8,1,116,467,4.0,3,2007
Jason Scales,Iowa State,Big 12,7,99,333,3.4,3,10,28,2.8,0,109,361,3.3,3,2007
Tony Dace,Army,Ind,12,97,330,3.4,1,10,47,4.7,0,107,377,3.5,1,2007
Curtis Brinkley,Syracuse,Big East,8,111,371,3.3,2,9,149,16.6,0,120,520,4.3,2,2007
Jeremy Stewart,Stanford,Pac-10,11,105,343,3.3,2,7,14,2.0,0,112,357,3.2,2,2007
Jacob French,San Jose State,WAC,12,101,331,3.3,1,38,297,7.8,1,139,628,4.5,2,2007
Rashaud Slaughter,UAB,CUSA,11,100,325,3.3,1,22,123,5.6,0,122,448,3.7,1,2007
Mackenzi Adams,Vanderbilt,SEC,12,87,289,3.3,3,,,,,87,289,3.3,3,2007
Julian Reams,Florida International,Sun Belt,11,82,274,3.3,2,8,41,5.1,0,90,315,3.5,2,2007
Doug Hogue,Syracuse,Big East,9,77,251,3.3,1,3,31,10.3,0,80,282,3.5,1,2007
Corey Leonard,Arkansas State,Sun Belt,11,171,547,3.2,5,,,,,171,547,3.2,5,2007
Patrick Mealy,Army,Ind,11,94,301,3.2,0,10,60,6.0,0,104,361,3.5,0,2007
K.J. Black,Western Kentucky,Ind,12,104,324,3.1,2,,,,,104,324,3.1,2,2007
Bret Meyer,Iowa State,Big 12,12,95,292,3.1,3,1,21,21.0,0,96,313,3.3,3,2007
Kevin O'Connell,San Diego State,MWC,12,135,408,3.0,11,2,44,22.0,0,137,452,3.3,11,2007
Justin Boyle,Duke,ACC,11,75,226,3.0,1,10,42,4.2,0,85,268,3.2,1,2007
Tyler Lorenzen,Connecticut,Big East,13,133,328,2.5,1,,,,,133,328,2.5,1,2007
Travis Dixon,UNLV,MWC,12,132,324,2.5,2,1,-4,-4.0,0,133,320,2.4,2,2007
Tyler Donovan,Wisconsin,Big Ten,13,112,277,2.5,5,,,,,112,277,2.5,5,2007
Leon Jackson III,Utah State,WAC,12,142,338,2.4,6,,,,,142,338,2.4,6,2007
Andy Dalton,TCU,MWC,13,98,232,2.4,5,1,27,27.0,0,99,259,2.6,5,2007
Adam Tafralis,San Jose State,WAC,12,76,181,2.4,2,3,25,8.3,0,79,206,2.6,2,2007
Chase Daniel,Missouri,Big 12,14,109,253,2.3,4,,,,,109,253,2.3,4,2007
Giovanni Vizza,North Texas,Sun Belt,10,133,299,2.2,2,,,,,133,299,2.2,2,2007
Jameel Sewell,Virginia,ACC,13,126,279,2.2,4,,,,,126,279,2.2,4,2007
Matt Flynn,LSU,SEC,12,100,215,2.2,4,1,35,35.0,0,101,250,2.5,4,2007
Todd Reesing,Kansas,Big 12,13,92,197,2.1,3,,,,,92,197,2.1,3,2007
