Player,School,Conf,G,Att_R,Yds_R,Avg_R,TD_R,Rec,Yds,Avg,TD,Plays_S,Yds_S,Avg_S,TD_S,Year
Isaiah Johnson,North Texas,CUSA,10,82,359,4.4,5,7,95,13.6,1,89,454,5.1,6,2021
Nick Mosley,Bowling Green State,MAC,12,77,336,4.4,2,1,4,4.0,0,78,340,4.4,2,2021
Kevin Harris,South Carolina,SEC,12,152,659,4.3,4,11,89,8.1,0,163,748,4.6,4,2021
Elelyon Noa,Utah State,MWC,14,138,597,4.3,4,11,85,7.7,0,149,682,4.6,4,2021
Lincoln Pare,Arkansas State,Sun Belt,12,107,455,4.3,1,27,283,10.5,2,134,738,5.5,3,2021
Jason Bean,Kansas,Big 12,11,92,400,4.3,2,1,-1,-1.0,0,93,399,4.3,2,2021
Jaren Mangham,South Florida,American,12,160,671,4.2,15,5,50,10.0,0,165,721,4.4,15,2021
Vincent Davis,Pitt,ACC,14,142,593,4.2,4,23,125,5.4,0,165,718,4.4,4,2021
Jahmyl Jeter,Texas State,Sun Belt,12,91,384,4.2,8,10,29,2.9,0,101,413,4.1,8,2021
Marcus Williams Jr.,Louisiana Tech,CUSA,12,194,787,4.1,8,20,202,10.1,1,214,989,4.6,9,2021
Joshua Mack,Liberty,Ind,11,109,448,4.1,3,4,15,3.8,0,113,463,4.1,3,2021
Mike Wright,Vanderbilt,SEC,10,91,373,4.1,1,0,0,,0,91,373,4.1,1,2021
Alec Sinkfield,Boston College,ACC,12,85,350,4.1,2,1,6,6.0,0,86,356,4.1,2,2021
Matt Corral,Ole Miss,SEC,13,152,614,4.0,11,1,19,19.0,0,153,633,4.1,11,2021
Jordan Travis,Florida State,ACC,10,134,530,4.0,7,0,-13,,0,134,517,3.9,7,2021
Christian Turner,Wake Forest,ACC,14,126,506,4.0,5,4,29,7.3,0,130,535,4.1,5,2021
Bobby Cole,New Mexico,MWC,11,88,355,4.0,2,10,29,2.9,0,98,384,3.9,2,2021
Isiah Pacheco,Rutgers,Big Ten,12,167,647,3.9,5,13,25,1.9,0,180,672,3.7,5,2021
Isaac Ruoss,Navy,American,12,166,641,3.9,5,2,15,7.5,0,168,656,3.9,5,2021
Stephen Carr,Indiana,Big Ten,9,155,600,3.9,6,15,93,6.2,1,170,693,4.1,7,2021
Jaylan Knighton,Miami (FL),ACC,8,145,561,3.9,8,20,280,14.0,3,165,841,5.1,11,2021
King Doerue,Purdue,Big Ten,12,135,533,3.9,2,20,156,7.8,0,155,689,4.4,2,2021
Adrian Martinez,Nebraska,Big Ten,11,133,525,3.9,13,0,0,,0,133,525,3.9,13,2021
Tyhier Tyler,Army,Ind,12,128,494,3.9,7,0,0,,0,128,494,3.9,7,2021
Sean McGrew,Washington,Pac-12,8,110,434,3.9,8,8,51,6.4,0,118,485,4.1,8,2021
Jo'quavious Marks,Mississippi State,SEC,13,106,416,3.9,6,83,502,6.0,3,189,918,4.9,9,2021
B.J. Smith,Troy,Sun Belt,11,95,372,3.9,4,21,147,7.0,0,116,519,4.5,4,2021
Devonte Lee,Nevada,MWC,13,85,331,3.9,5,19,98,5.2,1,104,429,4.1,6,2021
O'Shaan Allison,Ohio,MAC,10,82,317,3.9,0,20,157,7.9,1,102,474,4.6,1,2021
Justin Lynch,Temple,American,11,75,295,3.9,1,0,0,,0,75,295,3.9,1,2021
David Bailey,Colorado State,MWC,11,197,752,3.8,9,15,134,8.9,2,212,886,4.2,11,2021
Deion Hankins,UTEP,CUSA,11,121,458,3.8,6,4,24,6.0,0,125,482,3.9,6,2021
Darius Boone Jr.,Eastern Michigan,MAC,13,120,451,3.8,6,5,77,15.4,0,125,528,4.2,6,2021
Kevin Marks,Buffalo,MAC,10,108,414,3.8,5,8,25,3.1,0,116,439,3.8,5,2021
James Harris II,Navy,American,12,99,373,3.8,2,0,0,,0,99,373,3.8,2,2021
Bryan Hill,South Alabama,Sun Belt,10,88,332,3.8,3,5,30,6.0,0,93,362,3.9,3,2021
Samson Evans,Eastern Michigan,MAC,12,83,316,3.8,13,19,107,5.6,0,102,423,4.1,13,2021
Hendon Hooker,Tennessee,SEC,13,166,616,3.7,5,0,0,,0,166,616,3.7,5,2021
Terrion Avery,South Alabama,Sun Belt,12,138,508,3.7,1,18,93,5.2,3,156,601,3.9,4,2021
Andrew Henry,Louisiana-Monroe,Sun Belt,11,131,482,3.7,4,14,88,6.3,1,145,570,3.9,5,2021
Jordan Myers,Rice,CUSA,11,92,338,3.7,8,27,278,10.3,1,119,616,5.2,9,2021
Edward Saydee,Temple,American,11,87,321,3.7,3,14,135,9.6,0,101,456,4.5,3,2021
Jakobi Buchanan,Army,Ind,14,157,572,3.6,13,0,0,,0,157,572,3.6,13,2021
Rocko Griffin,Vanderbilt,SEC,11,145,517,3.6,4,10,41,4.1,0,155,558,3.6,4,2021
A'Jon Vivens,Colorado State,MWC,9,90,324,3.6,0,10,73,7.3,0,100,397,4.0,0,2021
Will Jones,Ball State,MAC,13,88,314,3.6,3,16,131,8.2,0,104,445,4.3,3,2021
Cameron Davis,Washington,Pac-12,12,85,308,3.6,2,14,115,8.2,0,99,423,4.3,2,2021
Rahjai Harris,East Carolina,American,12,165,583,3.5,4,24,162,6.8,1,189,745,3.9,5,2021
Khalan Griffin,Rice,CUSA,12,114,400,3.5,2,1,20,20.0,0,115,420,3.7,2,2021
Austin Jones,Stanford,Pac-12,11,107,378,3.5,2,32,267,8.3,1,139,645,4.6,3,2021
Will Levis,Kentucky,SEC,13,107,376,3.5,9,1,15,15.0,0,108,391,3.6,9,2021
Cyrus Habibi-Likio,Boise State,MWC,11,107,374,3.5,2,23,213,9.3,0,130,587,4.5,2,2021
Alexander Horvath,Purdue,Big Ten,8,91,320,3.5,3,17,108,6.4,0,108,428,4.0,3,2021
Todd Centeio,Colorado State,MWC,12,131,439,3.4,2,1,12,12.0,0,132,451,3.4,2,2021
Max Duggan,TCU,Big 12,10,105,352,3.4,3,0,0,,0,105,352,3.4,3,2021
Levi Lewis,Louisiana,Sun Belt,14,100,343,3.4,5,0,0,,0,100,343,3.4,5,2021
Alex Fontenot,Colorado,Pac-12,12,96,326,3.4,5,13,80,6.2,1,109,406,3.7,6,2021
Kareem Walker,South Alabama,Sun Belt,8,86,295,3.4,4,12,43,3.6,1,98,338,3.4,5,2021
Desmond Ridder,Cincinnati,American,14,110,365,3.3,6,2,8,4.0,2,112,373,3.3,8,2021
Noah Cain,Penn State,Big Ten,13,106,350,3.3,4,19,114,6.0,0,125,464,3.7,4,2021
Michael Wiley,Arizona,Pac-12,11,91,302,3.3,2,33,297,9.0,4,124,599,4.8,6,2021
Demarcus Irons Jr.,Akron,MAC,8,91,296,3.3,2,0,0,,0,91,296,3.3,2,2021
Sam Hartman,Wake Forest,ACC,14,117,363,3.1,11,1,3,3.0,0,118,366,3.1,11,2021
Grayson McCall,Coastal Carolina,Sun Belt,11,93,290,3.1,4,0,0,,0,93,290,3.1,4,2021
Kevin Mensah,Connecticut,Ind,12,104,314,3.0,0,12,55,4.6,0,116,369,3.2,0,2021
Chevan Cordeiro,Hawaii,MWC,11,116,342,2.9,3,0,0,,0,116,342,2.9,3,2021
D.J. Uiagalelei,Clemson,ACC,13,105,308,2.9,4,0,0,,0,105,308,2.9,4,2021
Noah Vedral,Rutgers,Big Ten,13,102,297,2.9,2,0,0,,0,102,297,2.9,2,2021
Brock Purdy,Iowa State,Big 12,13,85,238,2.8,1,0,0,,0,85,238,2.8,1,2021
Chandler Rogers,Louisiana-Monroe,Sun Belt,12,139,367,2.6,1,0,0,,0,139,367,2.6,1,2021
Brennan Armstrong,Virginia,ACC,11,98,251,2.6,9,1,18,18.0,1,99,269,2.7,10,2021
Kenny Pickett,Pitt,ACC,13,97,241,2.5,5,0,0,,0,97,241,2.5,5,2021
Justin Tomlin,Georgia Southern,Sun Belt,8,80,195,2.4,2,0,0,,0,80,195,2.4,2,2021
Tai Lavatai,Navy,American,10,170,371,2.2,7,0,0,,0,170,371,2.2,7,2021
Payton Thorne,Michigan State,Big Ten,13,82,181,2.2,4,1,15,15.0,0,83,196,2.4,4,2021
Timmy Mcclain,South Florida,American,11,123,238,1.9,4,0,0,,0,123,238,1.9,4,2021
Brendon Lewis,Colorado,Pac-12,12,98,188,1.9,2,0,0,,0,98,188,1.9,2,2021
Chris Reynolds,Charlotte,CUSA,11,86,164,1.9,4,0,0,,0,86,164,1.9,4,2021
Holton Ahlers,East Carolina,American,12,116,204,1.8,6,2,27,13.5,1,118,231,2.0,7,2021
Gunnar Holmberg,Duke,ACC,11,88,161,1.8,6,0,0,,0,88,161,1.8,6,2021
Seth Henigan,Memphis,American,11,80,147,1.8,0,1,8,8.0,0,81,155,1.9,0,2021
Brady McBride,Texas State,Sun Belt,7,77,141,1.8,1,0,0,,0,77,141,1.8,1,2021
Sean Clifford,Penn State,Big Ten,13,99,163,1.6,2,0,0,,0,99,163,1.6,2,2021
Clayton Tune,Houston,American,14,105,154,1.5,2,0,0,,0,105,154,1.5,2,2021
Michael Pratt,Tulane,American,12,105,152,1.4,5,0,0,,0,105,152,1.4,5,2021
N'Kosi Perry,Florida Atlantic,CUSA,12,107,148,1.4,4,1,20,20.0,1,108,168,1.6,5,2021
Jonah Johnson,New Mexico State,Ind,11,130,158,1.2,4,0,0,,0,130,158,1.2,4,2021
Kaleb Eleby,Western Michigan,MAC,13,87,64,0.7,6,0,0,,1,87,64,0.7,7,2021
Dylan Hopkins,UAB,CUSA,13,85,19,0.2,5,0,0,,0,85,19,0.2,5,2021
Matt McDonald,Bowling Green State,MAC,12,80,13,0.2,4,0,0,,0,80,13,0.2,4,2021
Ben Bryant,Eastern Michigan,MAC,13,87,-43,-0.5,2,0,0,,0,87,-43,-0.5,2,2021
John Lee Eldridge III,Air Force,MWC,13,99,766,7.7,4,1,4,4.0,0,100,770,7.7,4,2022
Tylan Hines,Hawaii,MWC,13,83,634,7.6,2,9,82,9.1,0,92,716,7.8,2,2022
DeWayne McBride,UAB,CUSA,11,233,1713,7.4,19,2,10,5.0,0,235,1723,7.3,19,2022
Keaton Mitchell,East Carolina,American,12,201,1452,7.2,14,27,252,9.3,1,228,1704,7.5,15,2022
Ayo Adeyi,North Texas,CUSA,12,112,807,7.2,4,2,12,6.0,0,114,819,7.2,4,2022
Donovan Edwards,Michigan,Big Ten,11,140,991,7.1,7,18,200,11.1,2,158,1191,7.5,9,2022
Zach Charbonnet,UCLA,Pac-12,10,195,1359,7.0,14,37,321,8.7,0,232,1680,7.2,14,2022
Tyjae Spears,Tulane,American,14,229,1581,6.9,19,22,256,11.6,2,251,1837,7.3,21,2022
Nate Noel,Appalachian State,Sun Belt,9,87,604,6.9,6,24,145,6.0,0,111,749,6.7,6,2022
Devontae Houston,Connecticut,Ind,10,84,578,6.9,3,10,48,4.8,0,94,626,6.7,3,2022
Brian Battie,South Florida,American,12,175,1185,6.8,8,14,91,6.5,0,189,1276,6.8,8,2022
Nicholas Singleton,Penn State,Big Ten,13,156,1061,6.8,12,11,85,7.7,1,167,1146,6.9,13,2022
Bucky Irving,Oregon,Pac-12,13,156,1058,6.8,5,31,299,9.6,3,187,1357,7.3,8,2022
Michael Wiley,Arizona,Pac-12,11,113,771,6.8,8,36,349,9.7,3,149,1120,7.5,11,2022
