Player,School,Conf,G,Rec,Yds,Avg,TD,Att_R,Yds_R,Avg_R,TD_R,Plays_S,Yds_S,Avg_S,TD_S,Year
Ryan Broyles,Oklahoma,Big 12,13,46,687,14.9,6,3,11,3.7,0,49,698,14.2,6,2008
Chris Williams,New Mexico State,WAC,12,86,1271,14.8,9,1,0,0.0,0,87,1271,14.6,9,2008
Andy Brodell,Iowa,Big Ten,13,36,533,14.8,4,3,24,8.0,0,39,557,14.3,4,2008
Maurice Jones,Memphis,CUSA,12,33,490,14.8,3,11,62,5.6,1,44,552,12.5,4,2008
Brandon Lafell,LSU,SEC,13,63,929,14.7,8,2,6,3.0,0,65,935,14.4,8,2008
Chris Givens,Miami (OH),MAC,12,35,513,14.7,7,3,-19,-6.3,0,38,494,13.0,7,2008
Jarrett Boykin,Virginia Tech,ACC,14,30,441,14.7,2,,,,,30,441,14.7,2,2008
Greg Salas,Hawaii,WAC,14,57,831,14.6,3,,,,,57,831,14.6,3,2008
Bryce Beall,Houston,CUSA,13,34,496,14.6,4,198,1247,6.3,13,232,1743,7.5,17,2008
Austin Collie,Brigham Young,MWC,13,106,1538,14.5,15,10,77,7.7,0,116,1615,13.9,15,2008
Derrell Johnson-Koulianos,Iowa,Big Ten,13,44,639,14.5,3,1,6,6.0,0,45,645,14.3,3,2008
Darrius Heyward-Bey,Maryland,ACC,12,42,609,14.5,5,15,202,13.5,1,57,811,14.2,6,2008
Ed Dickson,Oregon,Pac-10,13,35,508,14.5,3,3,18,6.0,0,38,526,13.8,3,2008
Anthony McCall,Louisiana-Monroe,Sun Belt,12,28,406,14.5,6,,,,,28,406,14.5,6,2008
Carlton Mitchell,South Florida,Big East,13,28,405,14.5,1,1,7,7.0,0,29,412,14.2,1,2008
Jermaine Gresham,Oklahoma,Big 12,14,66,950,14.4,14,1,5,5.0,0,67,955,14.3,14,2008
Andre Jones,Akron,MAC,11,47,678,14.4,7,4,51,12.8,0,51,729,14.3,7,2008
Sean Walker,Vanderbilt,SEC,13,36,520,14.4,3,16,99,6.2,1,52,619,11.9,4,2008
Doug Baldwin,Stanford,Pac-10,12,23,332,14.4,4,4,81,20.3,1,27,413,15.3,5,2008
Emmanuel Sanders,SMU,CUSA,10,67,958,14.3,9,,,,,67,958,14.3,9,2008
Rob Gronkowski,Arizona,Pac-10,10,47,672,14.3,10,,,,,47,672,14.3,10,2008
Jason Chery,Louisiana,Sun Belt,12,46,656,14.3,7,25,312,12.5,3,71,968,13.6,10,2008
Jamari Grant,Florida Atlantic,Sun Belt,13,45,642,14.3,4,,,,,45,642,14.3,4,2008
Chris McGaha,Arizona State,Pac-10,12,35,501,14.3,1,,,,,35,501,14.3,1,2008
T.J. Porter,Pitt,Big East,13,25,357,14.3,0,1,2,2.0,0,26,359,13.8,0,2008
Dexter McCluster,Ole Miss,SEC,13,44,625,14.2,1,109,655,6.0,6,153,1280,8.4,7,2008
Phillip Livas,Louisiana Tech,WAC,13,43,607,14.1,2,30,337,11.2,2,73,944,12.9,4,2008
Brian Watters,UCF,CUSA,12,42,594,14.1,3,,,,,42,594,14.1,3,2008
Marcus Perez,Northern Illinois,MAC,12,34,480,14.1,2,3,20,6.7,1,37,500,13.5,3,2008
Jahbari McLennan,Arkansas State,Sun Belt,12,32,451,14.1,1,4,78,19.5,1,36,529,14.7,2,2008
Damaris Johnson,Tulsa,CUSA,14,53,743,14.0,10,41,327,8.0,1,94,1070,11.4,11,2008
Joe Bockheim,Central Michigan,MAC,13,35,491,14.0,5,,,,,35,491,14.0,5,2008
Greg Carr,Florida State,ACC,13,39,542,13.9,4,,,,,39,542,13.9,4,2008
Demetrius Byrd,LSU,SEC,13,37,513,13.9,4,,,,,37,513,13.9,4,2008
Josh Leduc,Eastern Michigan,MAC,12,32,446,13.9,4,,,,,32,446,13.9,4,2008
Shane Morales,Oregon State,Pac-10,13,54,743,13.8,8,,,,,54,743,13.8,8,2008
Patrick Edwards,Houston,CUSA,8,46,634,13.8,4,2,52,26.0,0,48,686,14.3,4,2008
Jared Perry,Missouri,Big 12,14,41,567,13.8,4,2,-8,-4.0,0,43,559,13.0,4,2008
Mike McNeill,Nebraska,Big 12,13,32,442,13.8,6,1,0,0.0,0,33,442,13.4,6,2008
Bryan Anderson,Central Michigan,MAC,12,63,865,13.7,6,,,,,63,865,13.7,6,2008
Taylor Price,Ohio,MAC,12,51,694,13.6,5,5,19,3.8,0,56,713,12.7,5,2008
Dontavia Bogan,South Florida,Big East,13,26,354,13.6,1,2,23,11.5,0,28,377,13.5,1,2008
Naaman Roosevelt,Buffalo,MAC,14,104,1402,13.5,13,3,9,3.0,0,107,1411,13.2,13,2008
Terrell Turner,Arizona,Pac-10,13,43,580,13.5,1,2,17,8.5,0,45,597,13.3,1,2008
Garrett Graham,Wisconsin,Big Ten,11,40,540,13.5,5,,,,,40,540,13.5,5,2008
David Gettis,Baylor,Big 12,12,29,391,13.5,0,,,,,29,391,13.5,0,2008
Damarlo Belcher,Indiana,Big Ten,12,25,337,13.5,2,,,,,25,337,13.5,2,2008
Johnathan Wilson,Kansas,Big 12,13,43,573,13.3,3,1,0,0.0,0,44,573,13.0,3,2008
Brian King,Tulane,CUSA,12,41,544,13.3,0,2,12,6.0,0,43,556,12.9,0,2008
Taylor Embree,UCLA,Pac-10,12,40,531,13.3,0,1,1,1.0,0,41,532,13.0,0,2008
Alric Arnett,West Virginia,Big East,13,35,466,13.3,6,2,-4,-2.0,0,37,462,12.5,6,2008
Josh Smith,Colorado,Big 12,12,29,387,13.3,3,12,32,2.7,0,41,419,10.2,3,2008
R.J. Sumrall,Iowa State,Big 12,12,57,750,13.2,7,,,,,57,750,13.2,7,2008
Andrew Means,Indiana,Big Ten,11,34,450,13.2,1,1,7,7.0,0,35,457,13.1,1,2008
Desmond Tardy,Purdue,Big Ten,12,67,876,13.1,5,5,9,1.8,0,72,885,12.3,5,2008
Brent Casteel,Utah,MWC,13,43,564,13.1,4,17,92,5.4,1,60,656,10.9,5,2008
Taurus Johnson,South Florida,Big East,13,38,498,13.1,6,4,11,2.8,0,42,509,12.1,6,2008
Jaison Williams,Oregon,Pac-10,13,36,473,13.1,4,,,,,36,473,13.1,4,2008
Gerald Baptiste,Southern Mississippi,CUSA,13,35,460,13.1,2,3,28,9.3,0,38,488,12.8,2,2008
