Player,School,Conf,G,Rec,Yds,Avg,TD,Att_R,Yds_R,Avg_R,TD_R,Plays_S,Yds_S,Avg_S,TD_S,Year
Landon Wolf,Oklahoma State,Big 12,13,25,189,7.6,0,0,0,,0,25,189,7.6,0,2019
Cam Akers,Florida State,ACC,11,30,225,7.5,4,231,1144,5.0,14,261,1369,5.2,18,2019
Smoke Harris,Louisiana Tech,CUSA,13,47,348,7.4,2,11,61,5.5,1,58,409,7.1,3,2019
Jermaine Johnson Jr.,Massachusetts,Ind,12,37,272,7.4,2,4,37,9.3,0,41,309,7.5,2,2019
Kesean Strong,Old Dominion,CUSA,11,27,200,7.4,0,84,353,4.2,4,111,553,5.0,4,2019
Art Pierce,Oregon State,Pac-12,12,23,169,7.3,1,146,873,6.0,6,169,1042,6.2,7,2019
Isaiah Spiller,Texas A&M,SEC,13,29,203,7.0,0,174,946,5.4,10,203,1149,5.7,10,2019
Max Borghi,Washington State,Pac-12,13,86,597,6.9,5,127,817,6.4,11,213,1414,6.6,16,2019
Lamical Perine,Florida,SEC,13,40,262,6.6,5,132,676,5.1,6,172,938,5.5,11,2019
Art Thompkins,Connecticut,American,12,39,257,6.6,2,98,468,4.8,2,137,725,5.3,4,2019
Gerold Bright,Utah State,MWC,13,35,230,6.6,1,182,921,5.1,9,217,1151,5.3,10,2019
Julian Hicks,Akron,MAC,10,32,212,6.6,2,1,1,1.0,0,33,213,6.5,2,2019
Tra Minter,South Alabama,Sun Belt,12,32,209,6.5,0,193,1057,5.5,5,225,1266,5.6,5,2019
Toa Taua,Nevada,MWC,13,30,185,6.2,0,196,807,4.1,6,226,992,4.4,6,2019
Caleb Twyford,Texas State,Sun Belt,11,27,145,5.4,1,108,488,4.5,2,135,633,4.7,3,2019
Caleb Twyford,Texas State,Sun Belt,11,27,145,5.4,1,108,488,4.5,2,135,633,4.7,3,2019
Jason Huntley,New Mexico State,Ind,12,40,192,4.8,2,154,1090,7.1,9,194,1282,6.6,11,2019
Sewo Olonilua,TCU,Big 12,12,24,114,4.8,1,134,537,4.0,8,158,651,4.1,9,2019
Kennedy McKoy,West Virginia,Big 12,12,37,167,4.5,1,99,323,3.3,3,136,490,3.6,4,2019
Alex Fontenot,Colorado,Pac-12,11,27,122,4.5,0,185,874,4.7,5,212,996,4.7,5,2019
SaRodorick Thompson,Texas Tech,Big 12,12,39,154,3.9,0,160,765,4.8,12,199,919,4.6,12,2019
