Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att_R,Yds_R,Avg_R,TD_R,Year
Kyle Vantrease,Buffalo,MAC,10,160,261,61.3,1836,7.0,6.6,8,6,125.9,30,109,3.6,3,2021
Kurtis Rourke,Ohio,MAC,10,169,259,65.3,1801,7.0,6.6,11,7,132.3,74,327,4.4,3,2021
Will Rogers,Mississippi State,SEC,13,505,683,73.9,4739,6.9,7.4,36,9,147.0,62,-97,-1.6,0,2021
Graham Mertz,Wisconsin,Big Ten,13,169,284,59.5,1958,6.9,5.9,10,11,121.3,37,-25,-0.7,4,2021
Jason Bean,Kansas,Big 12,11,102,182,56.0,1252,6.9,6.1,6,6,118.1,92,400,4.3,2,2021
Connor Bazelak,Missouri,SEC,11,246,377,65.3,2548,6.8,6.3,16,11,130.2,33,-23,-0.7,0,2021
Dylan Morris,Washington,Pac-12,11,220,363,60.6,2458,6.8,6.1,14,12,123.6,46,-25,-0.5,3,2021
Zach Calzada,Texas A&M,SEC,12,184,328,56.1,2185,6.7,6.5,17,9,123.7,35,-9,-0.3,1,2021
Austin Aune,North Texas,CUSA,13,151,295,51.2,1991,6.7,6.0,9,9,111.8,80,325,4.1,3,2021
Matt McDonald,Bowling Green State,MAC,12,236,393,60.1,2555,6.5,6.3,12,7,121.2,80,13,0.2,4,2021
Spencer Petras,Iowa,Big Ten,12,165,288,57.3,1880,6.5,5.8,10,9,117.3,48,-109,-2.3,5,2021
Mikey Keene,UCF,American,11,173,272,63.6,1730,6.4,6.6,17,6,133.2,35,-36,-1.0,1,2021
Lucas Johnson,San Diego State,MWC,13,138,223,61.9,1424,6.4,6.7,12,4,129.7,52,181,3.5,1,2021
Jonah Johnson,New Mexico State,Ind,11,257,439,58.5,2709,6.2,5.8,10,8,114.2,130,158,1.2,4,2021
Drew Plitt,Ball State,MAC,13,248,411,60.3,2541,6.2,6.4,18,6,123.8,81,131,1.6,2,2021
Garrett Shrader,Syracuse,ACC,12,123,234,52.6,1445,6.2,6.2,9,4,113.7,173,781,4.5,14,2021
D.J. Uiagalelei,Clemson,ACC,13,208,374,55.6,2246,6.0,5.3,9,10,108.7,105,308,2.9,4,2021
Noah Vedral,Rutgers,Big Ten,13,180,303,59.4,1823,6.0,5.4,7,7,112.9,102,297,2.9,2,2021
Will Plummer,Arizona,Pac-12,10,155,267,58.1,1610,6.0,5.0,6,9,109.4,60,138,2.3,2,2021
Brendon Lewis,Colorado,Pac-12,12,149,257,58.0,1540,6.0,6.2,10,3,118.8,98,188,1.9,2,2021
Steven Krajewski,Connecticut,Ind,11,121,230,52.6,1221,5.3,4.0,7,10,98.5,61,173,2.8,3,2021
Brady Olson,Massachusetts,Ind,9,104,216,48.1,1145,5.3,4.6,8,7,98.4,35,28,0.8,0,2021
C.J. Stroud,Ohio State,Big Ten,13,258,389,66.3,3688,9.5,10.9,41,6,177.7,47,108,2.3,0,2022
Hendon Hooker,Tennessee,SEC,11,229,329,69.6,3135,9.5,10.9,27,2,175.5,104,430,4.1,5,2022
Todd Centeio,James Madison,Sun Belt,10,181,284,63.7,2697,9.5,10.5,25,5,169.0,95,366,3.9,7,2022
Kurtis Rourke,Ohio,MAC,11,244,353,69.1,3257,9.2,10.1,25,4,167.7,74,245,3.3,4,2022
Caleb Williams,USC,Pac-12,14,333,500,66.6,4537,9.1,10.3,42,5,168.5,113,382,3.4,10,2022
Stetson Bennett,Georgia,SEC,15,310,454,68.3,4128,9.1,9.6,27,7,161.2,57,205,3.6,10,2022
Jordan Travis,Florida State,ACC,13,226,353,64.0,3214,9.1,9.8,24,5,160.1,82,417,5.1,7,2022
Grayson McCall,Coastal Carolina,Sun Belt,11,207,297,69.7,2700,9.1,10.4,24,2,171.4,91,195,2.1,6,2022
Michael Pratt,Tulane,American,13,215,338,63.6,3009,8.9,9.8,27,5,161.8,129,478,3.7,10,2022
Dylan Hopkins,UAB,CUSA,11,136,215,63.3,1913,8.9,9.0,10,4,149.6,48,120,2.5,2,2022
Max Duggan,TCU,Big 12,15,267,419,63.7,3698,8.8,9.5,32,8,159.2,137,423,3.1,9,2022
Bo Nix,Oregon,Pac-12,13,294,409,71.9,3593,8.8,9.4,29,7,165.7,89,510,5.7,14,2022
Bryce Young,Alabama,SEC,12,245,380,64.5,3328,8.8,9.9,32,5,163.2,49,185,3.8,4,2022
K.J. Jefferson,Arkansas,SEC,11,204,300,68.0,2636,8.8,9.6,24,5,164.9,158,640,4.1,9,2022
Casey Thompson,Nebraska,Big Ten,10,173,274,63.1,2407,8.8,8.4,17,10,150.1,56,-21,-0.4,5,2022
Frank Harris,UTSA,CUSA,14,328,471,69.6,4063,8.6,9.1,32,9,160.7,129,602,4.7,9,2022
Sam Hartman,Wake Forest,ACC,12,270,428,63.1,3701,8.6,9.2,38,12,159.4,102,129,1.3,1,2022
Austin Aune,North Texas,CUSA,14,232,411,56.4,3547,8.6,8.6,33,15,148.1,44,52,1.2,1,2022
Dillon Gabriel,Oklahoma,Big 12,12,230,367,62.7,3168,8.6,9.3,25,6,154.4,89,315,3.5,6,2022
Davis Brin,Tulsa,American,9,148,250,59.2,2138,8.6,8.5,17,8,147.1,48,-77,-1.6,2,2022
Jalen Mayden,San Diego State,MWC,13,141,237,59.5,2030,8.6,7.7,12,10,139.7,69,231,3.3,3,2022
Jayden De Laura,Arizona,Pac-12,12,272,435,62.5,3685,8.5,8.3,25,13,146.7,74,116,1.6,4,2022
Will Levis,Kentucky,SEC,11,185,283,65.4,2406,8.5,8.3,19,10,151.9,72,-107,-1.5,2,2022
Michael Penix Jr.,Washington,Pac-12,13,362,554,65.3,4641,8.4,8.8,31,8,151.3,35,92,2.6,4,2022
Drake Maye,North Carolina,ACC,14,342,517,66.2,4321,8.4,9.2,38,7,157.9,184,698,3.8,7,2022
Jaren Hall,Brigham Young,Ind,12,248,376,66.0,3171,8.4,9.4,31,6,160.8,86,350,4.1,3,2022
Chase Brice,Appalachian State,Sun Belt,12,219,349,62.8,2921,8.4,9.1,27,6,155.1,71,117,1.6,4,2022
Gunnar Watson,Troy,Sun Belt,13,206,335,61.5,2818,8.4,7.6,14,12,138.8,61,-173,-2.8,2,2022
J.J. McCarthy,Michigan,Big Ten,14,208,322,64.6,2719,8.4,9.1,22,5,155.0,70,306,4.4,5,2022
Dorian Thompson-Robinson,UCLA,Pac-12,13,266,382,69.6,3169,8.3,8.5,27,10,157.4,118,645,5.5,12,2022
Garrett Shrader,Syracuse,ACC,12,205,317,64.7,2640,8.3,8.4,17,7,147.9,150,444,3.0,9,2022
Clayton Tune,Houston,American,13,334,496,67.3,4074,8.2,8.9,40,10,158.9,128,544,4.3,5,2022
Jaxson Dart,Ole Miss,SEC,13,226,362,62.4,2974,8.2,8.0,20,11,143.6,128,614,4.8,1,2022
Darren Grainger,Georgia State,Sun Belt,12,174,297,58.6,2443,8.2,8.4,18,7,143.0,164,734,4.5,6,2022
Clay Millen,Colorado State,MWC,10,169,234,72.2,1910,8.2,7.9,10,6,149.8,100,-28,-0.3,0,2022
Seth Henigan,Memphis,American,13,285,445,64.0,3559,8.0,8.2,22,8,143.9,146,287,2.0,4,2022
Tanner Mordecai,SMU,American,12,288,443,65.0,3524,8.0,8.4,33,10,151.9,59,100,1.7,2,2022
Sean Clifford,Penn State,Big Ten,13,226,351,64.4,2822,8.0,8.5,24,7,150.5,69,176,2.6,5,2022
Chris Reynolds,Charlotte,CUSA,10,201,316,63.6,2540,8.0,7.9,22,11,147.1,46,-40,-0.9,1,2022
Drew Pyne,Notre Dame,Ind,11,164,254,64.6,2021,8.0,8.6,22,6,155.3,47,108,2.3,2,2022
Austin Reed,Western Kentucky,CUSA,14,389,603,64.5,4746,7.9,8.4,40,11,148.9,91,224,2.5,8,2022
Holton Ahlers,East Carolina,American,13,315,469,67.2,3708,7.9,8.6,28,5,151.1,72,182,2.5,6,2022
Cameron Rising,Utah,Pac-12,13,249,385,64.7,3034,7.9,8.3,26,8,149.0,77,465,6.0,6,2022
Collin Schlee,Kent State,MAC,11,157,266,59.0,2109,7.9,8.1,13,5,138.0,98,489,5.0,4,2022
TJ Mcmahon,Rice,CUSA,10,160,266,60.2,2102,7.9,6.9,18,14,138.3,65,154,2.4,3,2022
Carter Bradley,South Alabama,Sun Belt,13,275,425,64.7,3335,7.8,7.9,28,12,146.7,68,65,1.0,2,2022
Ben Bryant,Cincinnati,American,11,213,348,61.2,2731,7.8,8.1,21,7,143.0,47,-118,-2.5,0,2022
Anthony Richardson,Florida,SEC,12,176,327,53.8,2549,7.8,7.6,17,9,131.0,103,654,6.3,9,2022
Taulia Tagovailoa,Maryland,Big Ten,12,262,391,67.0,3008,7.7,7.7,18,8,142.7,87,64,0.7,4,2022
Chevan Cordeiro,San Jose State,MWC,12,259,427,60.7,3251,7.6,8.1,23,6,139.6,138,265,1.9,9,2022
Spencer Rattler,South Carolina,SEC,13,264,399,66.2,3026,7.6,7.1,18,12,138.7,73,46,0.6,3,2022
Riley Leonard,Duke,ACC,13,250,392,63.8,2967,7.6,7.9,20,6,141.1,124,699,5.6,13,2022
Blake Shapen,Baylor,Big 12,13,233,368,63.3,2790,7.6,7.3,18,10,137.7,76,96,1.3,2,2022
Kedon Slovis,Pitt,ACC,11,184,315,58.4,2397,7.6,7.0,10,9,127.1,25,-68,-2.7,0,2022
Jayden Daniels,LSU,SEC,14,266,388,68.6,2913,7.5,8.0,17,3,144.5,186,885,4.8,11,2022
John Rhys Plumlee,UCF,American,13,218,346,63.0,2586,7.5,7.2,14,8,134.5,159,862,5.4,11,2022
Chandler Rogers,Louisiana-Monroe,Sun Belt,12,216,320,67.5,2403,7.5,7.5,15,7,141.7,145,353,2.4,5,2022
Graham Mertz,Wisconsin,Big Ten,12,164,286,57.3,2136,7.5,7.2,19,10,135.0,50,-40,-0.8,2,2022
Taylen Green,Boise State,MWC,13,166,271,61.3,2042,7.5,7.6,14,6,137.2,81,588,7.3,10,2022
Doug Brumfield,UNLV,MWC,10,164,254,64.6,1898,7.5,7.4,10,5,136.4,90,261,2.9,6,2022
Quinn Ewers,Texas,Big 12,10,172,296,58.1,2177,7.4,7.5,15,6,132.6,24,-52,-2.2,1,2022
N'Kosi Perry,Florida Atlantic,CUSA,12,215,371,58.0,2712,7.3,8.1,25,5,138.9,91,259,2.8,6,2022
Tyler Van Dyke,Miami (FL),ACC,9,160,253,63.2,1835,7.3,7.2,10,5,133.3,30,-34,-1.1,0,2022
Brady Cook,Missouri,SEC,13,248,383,64.8,2739,7.2,7.1,14,7,133.2,139,585,4.2,6,2022
Tommy Devito,Illinois,Big Ten,13,257,369,69.6,2650,7.2,7.5,15,4,141.2,73,35,0.5,6,2022
Spencer Sanders,Oklahoma State,Big 12,10,212,368,57.6,2642,7.2,7.0,17,9,128.3,107,391,3.7,8,2022
DeQuan Finn,Toledo,MAC,12,189,316,59.8,2269,7.2,6.9,23,12,136.5,130,632,4.9,9,2022
Malik Cunningham,Louisville,ACC,10,136,218,62.4,1568,7.2,6.9,8,5,130.3,113,560,5.0,12,2022
James Blackman,Arkansas State,Sun Belt,11,223,347,64.3,2471,7.1,7.5,14,3,135.7,61,-120,-2.0,3,2022
Kyle Vantrease,Georgia Southern,Sun Belt,13,371,604,61.4,4253,7.0,6.7,27,16,130.0,33,34,1.0,3,2022
Aidan O'Connell,Purdue,Big Ten,12,320,499,64.1,3490,7.0,6.7,22,13,132.2,43,-81,-1.9,1,2022
Hayden Wolff,Old Dominion,Sun Belt,12,234,413,56.7,2908,7.0,7.3,18,6,127.3,62,-80,-1.3,1,2022
Matt McDonald,Bowling Green State,MAC,12,231,378,61.1,2654,7.0,7.1,22,9,134.5,71,10,0.1,1,2022
Jack Plummer,California,Pac-12,12,282,451,62.5,3119,6.9,6.9,21,9,132.0,52,-126,-2.4,1,2022
Tanner McKee,Stanford,Pac-12,12,264,426,62.0,2947,6.9,6.7,13,8,126.4,74,-90,-1.2,2,2022
Payton Thorne,Michigan State,Big Ten,12,242,387,62.5,2679,6.9,6.6,19,11,131.2,60,42,0.7,1,2022
Demarcus Irons Jr.,Akron,MAC,10,253,379,66.8,2606,6.9,6.6,10,7,129.5,133,314,2.4,4,2022
Chase Cunningham,Middle Tennessee State,CUSA,12,309,463,66.7,3156,6.8,6.8,21,10,134.6,99,52,0.5,6,2022
E.J. Warner,Temple,American,11,268,443,60.5,3028,6.8,6.4,18,12,125.9,16,-50,-3.1,0,2022
D.J. Uiagalelei,Clemson,ACC,13,229,370,61.9,2521,6.8,7.2,22,7,135.0,142,545,3.8,7,2022
Ben Wooldridge,Louisiana,Sun Belt,10,138,244,56.6,1661,6.8,7.1,15,5,129.9,48,188,3.9,2,2022
Johnathan Bennett,Liberty,Ind,12,131,224,58.5,1534,6.8,6.1,12,9,125.7,76,181,2.4,2,2022
Donovan Smith,Texas Tech,Big 12,12,146,221,66.1,1505,6.8,6.3,12,8,133.9,76,116,1.5,7,2022
Cooper Legas,Utah State,MWC,10,135,221,61.1,1499,6.8,5.7,11,10,125.4,108,303,2.8,2,2022
Hunter Dekkers,Iowa State,Big 12,12,302,457,66.1,3044,6.7,6.1,19,14,129.6,89,73,0.8,2,2022
Cole Snyder,Buffalo,MAC,13,271,461,58.8,3030,6.6,6.6,18,8,123.4,110,146,1.3,4,2022
Cam Fancher,Marshall,Sun Belt,13,131,235,55.7,1558,6.6,6.3,10,6,120.4,107,466,4.4,1,2022
Will Rogers,Mississippi State,SEC,13,415,610,68.0,3974,6.5,7.1,35,8,139.1,44,-165,-3.8,0,2022
Cameron Ward,Washington State,Pac-12,13,320,497,64.4,3232,6.5,6.6,23,9,130.7,107,58,0.5,5,2022
Brennan Armstrong,Virginia,ACC,10,185,338,54.7,2210,6.5,5.4,7,12,109.4,123,371,3.0,6,2022
Grant Wells,Virginia Tech,ACC,11,196,332,59.0,2171,6.5,5.9,9,9,117.5,111,205,1.8,6,2022
Gavin Hardison,UTEP,CUSA,10,164,315,52.1,2044,6.5,6.0,11,8,113.0,66,76,1.2,1,2022
Robby Ashford,Auburn,SEC,12,123,250,49.2,1613,6.5,5.8,7,7,107.0,153,710,4.6,7,2022
Emmett Morehead,Boston College,ACC,10,115,192,59.9,1254,6.5,6.2,10,6,125.7,43,-22,-0.5,0,2022
JT Daniels,West Virginia,Big 12,10,200,327,61.2,2107,6.4,6.0,13,9,122.9,30,-51,-1.7,1,2022
AJ Swann,Vanderbilt,SEC,9,115,198,58.1,1274,6.4,7.0,10,2,126.8,21,-76,-3.6,0,2022
Daniel Richardson,Central Michigan,MAC,12,179,318,56.3,1988,6.3,6.5,15,5,121.2,33,-55,-1.7,0,2022
Spencer Petras,Iowa,Big Ten,12,157,281,55.9,1725,6.1,5.7,5,5,109.8,57,-182,-3.2,3,2022
Layne Hatcher,Texas State,Sun Belt,12,275,442,62.2,2653,6.0,5.8,19,10,122.3,50,-151,-3.0,1,2022
Aveon Smith,Miami (OH),MAC,10,108,217,49.8,1299,6.0,6.0,11,5,112.2,123,553,4.5,6,2022
JT Shrout,Colorado,Pac-12,9,90,203,44.3,1220,6.0,4.9,7,8,98.3,30,-15,-0.5,1,2022
Brayden Schager,Hawaii,MWC,12,221,400,55.3,2348,5.9,5.4,13,10,110.3,45,47,1.0,0,2022
Nate Cox,Nevada,MWC,12,133,251,53.0,1466,5.8,5.3,5,5,104.6,72,272,3.8,3,2022
John Paddock,Ball State,MAC,12,286,480,59.6,2719,5.7,5.1,18,14,113.7,27,-84,-3.1,0,2022
Andrew Peasley,Wyoming,MWC,12,144,275,52.4,1574,5.7,5.0,10,9,105.9,81,339,4.2,2,2022
Grayson James,Florida International,CUSA,11,210,358,58.7,1969,5.5,4.7,11,11,108.9,79,223,2.8,3,2022
Zion Turner,Connecticut,Ind,13,149,258,57.8,1407,5.5,4.4,9,10,107.3,90,262,2.9,1,2022
Connor Bazelak,Indiana,Big Ten,10,235,426,55.2,2312,5.4,5.0,13,10,106.1,47,-160,-3.4,1,2022
